signal_id,actor,actor_category,title,summary,evidence_quote,source_url,source_kind,observed_at,gold_keep,gold_signal_type,gold_dimension,gold_actor_correct,notes
36a5786e-7e46-438e-be7b-3284d60b4a64,Swiss Quantum Initiative,national_initiative,Swiss Quantum Initiative,"German-language announcement of the same TRL-enhancing initiatives call: four projects selected from 16 applications, CHF 15 million total funding (10 April 2026).",10.4.2026 Meldung Vier Projekte im Rahmen der Ausschreibung für «TRL-enhancing initiatives» ausgewählt Innerhalb der Swiss Quantum Initiative (SQI) hat der Vorstand der SCNAT im Rahmen der Ausschreibung «TRL-enhancing initiatives» vier Projekte zur Förderung ausgewählt. Von 16 insgesamt eingereichten Anträgen waren in dem zwei stufigen Verfahren vier erfolgreich. Das Gesamtfördervolumen betrügt 15 Millionen CHF.,https://quantum.scnat.ch/de/news_and_events,website,2026-07-04T03:53:43.828176+00:00,TRUE,legitimacy,funding_event,TRUE,"Direct link: https://scnat.ch/en/uuid/i/8cf1f99b-647e-5484-979a-96c80c76f23c-Four_Projects_Selected_in_the_Call_for_TRL-enhancing_initiatives
The signal comes from the SQI and the content is about it, as it gives out funding. But three other actors are involved which receive funding. This would be interesting to see on the knowledge graph. Additionally, from this finding, 4 signals (One for each actor should be created)
Actors involved: University of Geneva, Paul Scherrer Institute (PSI), University of Basel"
34942d21-71fb-40a5-9690-7535896b8e71,Basel Quantum Center at the University of Basel,university_or_research_hub,Basel Quantum Center participates in TunBasel 2026 exhibition from March 9-15,"The Basel Quantum Center, alongside the Department of Physics, Department of Chemistry, and Swiss Nanoscience Institute, presented at TunBasel 2026 held at Messe Basel. The exhibition showcased quantum research to a broad public audience.","Last week we participated in TunBasel! TunBasel took place at Messe Basel from March 9 to 15. The Department of Physics, the Department of Chemistry, the Swiss Nanoscience Institute and the Basel Quantum Center presented exciting…",https://bqc.unibas.ch/en/news-events,news,2026-06-17T05:26:35.607132+00:00,TRUE,legitimacy,educational_outreach,TRUE,Direct link: https://bqc.unibas.ch/en/news/details/tunbasel-2026-1/
46d674e7-6d43-48d8-a86b-d3b0bf69956c,FEMTOprint,private_company,FEMTOprint,Claim that FEMTOPRINT technology revolutionizes drug development via 3D glass microfluidics.,How 3D Glass Microfluidics and FEMTOPRINT® Technology are revolutionizing drug ...,https://www.femtoprint.ch/media.php,website,2026-05-26T04:44:34.573188+00:00,FALSE,,,TRUE,https://www.femtoprint.ch/media/how-ultrafast-laser-3d-glass-microfabrication-is-becoming-a-competitive-advantage-in-photonics/
467c7da6-4387-4162-aee8-a3cee9197e48,ZuriQ,private_company,ZuriQ hiring Quantum Error Correction Theorist for fault-tolerance roadmap,"ZuriQ is actively recruiting a Quantum Error Correction Theorist to design and analyze fault-tolerant protocols tailored to their 2D ion-shuttling architecture, signaling a strategic push toward logical-qubit demonstrations.","Quantum Error Correction Theorist Location: Zurich, Switzerland Employment Type: Full-Time Department: Quantum Architecture Position Overview We are seeking a Quantum Error Correction (QEC) Theorist with deep expertise in fault-tolerant quantum computing and a strong understanding of trapped-ion systems or other atomic systems.",https://zuriq.com/team,website,2026-07-17T06:46:19.701238+00:00,FALSE,,,TRUE,"Direct link: https://jobs.firstmomentum.vc/companies/zuriq/jobs/87962718-quantum-error-correction-theorist
A strong quantum signal in terms of content, but an open job advertisement: no dated event, and none of the 19 dimensions cover vacancies (leadership_expertise requires �named senior hires�). Source is correct; the advert is on /team."
21c6a6bd-37fb-4904-ab7b-b97dd5406946,Federal Institute of Metrology (METAS),national_initiative,METAS leads PEPS Innosuisse project for Primary Electro-optical Power Standard (2024-2027),"METAS is exploring the electro-optical effect for a novel power standard in the coaxial line system through the PEPS project (Primary Electro-optical Power Standard, 2024-2027), funded by Innosuisse in collaboration with an industrial partner.",PEPS - Primary Electro-optical Power Standard (2024 – 2027) ... Current R&D work is exploring the possibility to employ the electro-optical effect for a novel power standard in the coaxial line system. This work is carried out in the frame work of an Innosuisse project in collaboration with an industrial partner.,https://www.metas.ch/metas/en/home/fabe/hochfrequenz/projects.html,website,2026-07-20T05:08:50.340883+00:00,FALSE,,,TRUE,"Direct link: https://www.aramis.admin.ch/Texte/?ProjectID=54128
Borderline case. Drop Rule 2: RF power metrology based on an electro-optical effect; no reference to quantum concepts in the supporting text; METAS High-Frequency Division. Furthermore, an ongoing project (�exploring the possibility�); not a specific event with a set date."
2b44d33b-fc1b-4e93-a43e-d88a85f8233e,QuantumBasel,ecosystem_builder,QuantumBasel,QuantumBasel's AI solution for Qnomx reduced report reading and analysis time by 90%.,The new solution resulted in a 90% reduction in text reading time and analysis work and a 24% increase in hardware efficiency.,https://quantumbasel.com/blog/qnomx-success-story,website,2026-06-09T08:40:13.224143+00:00,TRUE,customer_cocreation,pilots_pocs,TRUE,Direct link: https://www.quantumbasel.com/blog/qnomx-success-story/
1134a67e-8b9b-4388-97be-8b93724b8f8f,QuantumBasel,ecosystem_builder,QuantumBasel Announces New Quantum Computing Center,QuantumBasel is opening a new quantum computing center in collaboration with a major tech company.,QuantumBasel and TechCorp today announced the opening of a new quantum computing center...,https://quantumbasel.com/news/quantumbasel-techcorp-quantum-computing-center,news,2026-06-24T05:04:17.692071+00:00,FALSE,,,FALSE,"Fabrication. URL 404, path /news does not exist, �TechCorp� does not appear on the website, no relevant report can be found. The only instance of fabrication in the corpus (1 out of 3,390)"
a0ed2fde-ddde-4e0a-b690-e4db8fd2983e,Swiss Quantum Initiative,national_initiative,Swiss Quantum Initiative lanciert zweiten Call für Quantum-Voucher,"SQI's second Quantum Voucher call (29 May 2026) allows up to two vouchers per person, each worth max CHF 50,000.","Swiss Quantum Initiative lanciert zweiten Call für Quantum-Voucher 29.05.2026 ... Teilnahmebedingungen und Einreichung. Eine Person kann bis zu zwei Voucher mit einem maximalen Wert von je 50'000 Franken beantragen. Projekte,...",https://www.mem-innovation.ch/elektroindustrie?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=8926&cHash=0ba308e74586170a6bbe1eb530fbe40b,news,2026-07-11T20:58:49.929138+00:00,TRUE,legitimacy,regulatory_recognition,TRUE,
3456db0c-2fec-4e15-bd11-35cba043d33d,The Geneva Science and Diplomacy Anticipator (GESDA),ecosystem_builder,"Open Quantum Institute runs LATAM Quantum Hackathon 2026 for water challenges in Puebla, Mexico","The OQI (born at GESDA, hosted at CERN) supported a 75-participant quantum hackathon across Latin America focused on real-world water system challenges, with quantum platforms provided by OQI member QCentroid and collaboration from UNESCO and regional universities.","That question brought together 75 participants from across Latin America, including Mexico, Colombia, Argentina, Uruguay and Brazil, for the 2026 LatAm Quantum Hackathon, supported by the Open Quantum Institute 'Quantum computing for water challenges', held in Puebla, Mexico. Quantum computing platforms for all participants were provided by the OQI member, QCentroid.",https://open-quantum-institute.cern/quantum-hackathon-mexico-2026/,website,2026-07-19T05:26:04.819803+00:00,TRUE,legitimacy,educational_outreach,TRUE,CERN should also get the signal: the operational �home� (the host)
41bcbda0-5e47-4b50-a20e-d1ebcc163884,Switzerland Innovation Parks,ecosystem_builder,Swiss Deep Tech Report 2026 Ranks Switzerland First Globally for Deep Tech VC Share,"The Swiss Deep Tech Report 2026 ranks Switzerland first in the world for the share of venture capital invested in deep tech, highlighting the Switzerland Innovation Parks ecosystem.",Switzerland Strengthens Its Position as a Global Deep Tech Leader The Swiss Deep Tech Report 2026 ranks Switzerland first in the world for the share of venture capital invested in deep tech and highlights the...,https://www.switzerland-innovation.com,website,2026-07-17T05:41:48.700397+00:00,TRUE,legitimacy,awards,TRUE,"Direct link: https://www.switzerland-innovation.com/news-article/switzerland-strengthens-its-position-as-a-global-deep-tech-leader
Other actors should get the signal assigned, such as: ZuriQ, IBM Research, ETH Zurich, etc."
